Major PIN,Contract Number,Region,Project Title,Project Description,Status,In/Future Development Start Date,Bid Opening Date,Construction Start Date,Construction End Date,Construction Amount,Federal Funding,State Funding,Local Funding,Type of Work,Public Friendly Description,Contract Award Date,Contract Award Amount,Approved Cost Changes,Current Award Amount,Estimated or Actual Completed Date,Schedule Performance,Cost Performance
113055,,01 CAPITAL DISTRICT,RT.22 OVER BOQUET RIVER BRIDGE REPAIR OR REPLACE BIN 1017210,"BIN 1017210, RT. 22 OVER BOUQUET RIVER, WHALLONSBURG BRIDGE, TOWN OF ESSEX, ESSEX COUNTY",In Development,Summer 2019,Spring 2021,Summer 2021,Spring 2023,3500000,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This project will make repairs to the Whallonsburg Bridge carrying State Route 22 over the Bouquet River. Town of Essex, Essex County.",,,,,,,
100136,,01 CAPITAL DISTRICT,"RT. 2 OVER THE POESTENKILL, BRIDGE REPLACEMENT, BIN 1000190","RT. 2 OVER THE POESTENKILL, BRIDGE REPLACEMENT, TOWN OF BRUNSWICK, RENSSELAER COUNTY, BIN 1000190",In Development,,Spring 2020,Summer 2020,Fall 2021,3300000,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"Replace the bridge carrying State Route 2 over the Poestenkill. Town of Brunswick, Rensselaer County.",,,,,,,
104342,,01 CAPITAL DISTRICT,"RT. 9 OVER I-87 AT EXIT 17, BRIDGE REPAIR BIN 1005679","RT. 9 OVER I-87 AT EXIT 17 BIN 1005679, BRIDGE REPAIR OR REPLACE ; TOWN OF MOREAU , SARATOGA COUNTY",In Development,,Spring 2020,Spring 2020,Winter 2021/2022,6500000,Yes,Yes,No,This project involves general bridge repairs.,"This project will repair or replace the bridge carrying Route 9 over Interstate 87 at Exit 17 in the Town of Moreau, Saratoga County.",,,,,,,
181055,,01 CAPITAL DISTRICT,RUSTIC RAIL SFY20,"RUSTIC RAIL SFY20, ROUTE 73 IN ESSEX COUNTY; AND ROUTES 9N, 418 AND 912Q IN WARREN COUNTY.",In Development,,Winter 2019/2020,Spring 2020,Summer 2020,4000000,Yes,Yes,No,This project involves the installation or improvement of guiderails.,"Rustic guiderail replacement SFY20, at the following federal-aid eligible locations: Route 9N in Towns of Lake Luzerne and Lake George; Route 418 in the Town of Warrensburg; Route 912Q in the Village of Lake George; Route 73 in the Towns of Hudson and ",,,,,,,
180963,,01 CAPITAL DISTRICT,SMALL CULVERT REPAIRS OR REPLACEMENTS I-88,"Small Culvert Repairs or Replacements, I-88 Schenectady County.",In Development,,Winter 2020/2021,Winter 2020/2021,Summer 2022,3600000,No,Yes,No,This project involves the repair and replacement of culverts.,Make repairs to various small culverts along Interstate 88 in Schenectady County.,,,,,,,
181016,,01 CAPITAL DISTRICT,TRAFFIC SIGNALS REBUILD SFY19,TRAFFIC SIGNALS REBUILD SFY19 (was 1T0852) VARIOUS LOCATIONS,In Development,,Spring 2020,Spring 2020,Fall 2021,1200000,Yes,Yes,No,This project involves the installation or improvement of traffic signals.,"Replace traffic signals in various locations throughout Region One, including Albany, Essex, Greene, Rensselaer, Saratoga, Schenectady, Warren and Washington counties.",,,,,,,
181029,,01 CAPITAL DISTRICT,ADA COMPLIANCE SFY19,NEW SIDEWALKS WILL BE IN COMPLIANCE WITH ADA GUIDELINES. Route 4 from East Greenbush Central School to Routes 9/20 and Along Route 9/20 from Route 4 to Miller Road.,Future Development,,Spring 2020,Spring 2020,Fall 2020,1000000,Yes,Yes,No,"This project involves rehabilitating pedestrian facilities (paths, sidewalks, crosswalks, etc.).","This project will replace cracked, heaved and uneven sidewalk areas and those constructed with asphalt, with new concrete sidewalks of uniform width and surface at the following locations: US Route 4 from East Greenbush Central School to US Routes 9/20 an",,,,,,,
181131,,01 CAPITAL DISTRICT,BRIDGE DECK REPLACEMENT PROJECT SFY 23,Bridge Deck Replacement Project SFY 23,Future Development,,Spring 2023,Summer 2023,Spring 2025,4000000,Yes,Yes,No,This project involves replacing bridge decks.,"Bridge deck replacement. Bridges will be selected from throughout Region 1, which includes Albany, Essex, Greene, Rensselaer, Saratoga, Schenectady, Warren, and Washington Counties.",,,,,,,
181132,,01 CAPITAL DISTRICT,BRIDGE DECK REPLACEMENT PROJECT SFY 24,Bridge Deck Replacement Project SFY 24,Future Development,,Spring 2024,Summer 2024,Spring 2026,4000000,Yes,Yes,No,This project involves replacing bridge decks.,"Bridge deck replacement. Bridges will be selected from throughout Region 1, which includes Albany, Essex, Greene, Rensselaer, Saratoga, Schenectady, Warren, and Washington Counties.",,,,,,,
181133,,01 CAPITAL DISTRICT,BRIDGE DECK REPLACEMENT PROJECT SFY 25,Bridge Deck Replacement Project SFY 25,Future Development,,Spring 2025,Summer 2025,,4000000,Yes,Yes,No,This project involves replacing bridge decks.,"Bridge deck replacement. Bridges will be selected from throughout Region 1, which includes Albany, Essex, Greene, Rensselaer, Saratoga, Schenectady, Warren, and Washington Counties.",,,,,,,
176105,,01 CAPITAL DISTRICT,"BRIDGE NY CULVERT STUMP CHURCH RD OVER FLY CREEK, CAMBRIDGE","Repair or replace various culverts in the following locations: Town of Cambridge, Washington County.",Future Development,,Summer 2020,Fall 2020,Winter 2022/2023,430000,No,Yes,No,This project involves the repair and replacement of culverts.,"This project will repair or replace various culverts in the following locations: Town of Cambridge, Washington County.",,,,,,,
194130,,01 CAPITAL DISTRICT,"BRIDGE REPAIR: WATER STREET BRIDGE OVER THE D&H, BIN 109292","BRIDGE REPAIR: WATER STREET BRIDGE OVER THE D&H, BIN 1092920, City of Albany, Albany County",Future Development,,Spring 2022,Spring 2022,Fall 2023,4500000,Yes,Yes,No,This project involves general bridge repairs.,"BRIDGE REPAIR: WATER STREET BRIDGE OVER THE D&H, City of Albany, Albany County",,,,,,,
181128,,01 CAPITAL DISTRICT,BRIDGE WASHING SFY 21,Bridge Washing SFY 21,Future Development,,Spring 2021,Summer 2021,Fall 2021,1000000,Yes,Yes,No,This project involves bridge cleaning.,"Power wash bridges to remove accumulated dirt, salt and other debris to help extend the useful life of bridge elements. Bridges will be selected from throughout Region 1, which includes Albany, Essex, Greene, Rensselaer, Saratoga, Schenectady, Warren, and",,,,,,,
181129,,01 CAPITAL DISTRICT,BRIDGE WASHING SFY 23,Bridge Washing SFY 23,Future Development,,Spring 2023,Summer 2023,Fall 2023,1000000,Yes,Yes,No,This project involves bridge cleaning.,"Power wash bridges to remove accumulated dirt, salt and other debris to help extend the useful life of bridge elements. Bridges will be selected from throughout Region 1, which includes Albany, Essex, Greene, Rensselaer, Saratoga, Schenectady, Warren, and",,,,,,,
181130,,01 CAPITAL DISTRICT,BRIDGE WEATHERING STEEL WASHING SFY 22,"Bridge Weathering Steel Washing, SFY 22",Future Development,,Spring 2022,Summer 2022,Fall 2022,2000000,Yes,Yes,No,This project involves bridge cleaning.,"Power wash bridges to remove accumulated dirt, salt and other debris to help extend the useful life of bridge elements. Bridges will be selected from throughout Region 1, which includes Albany, Essex, Greene, Rensselaer, Saratoga, Schenectady, Warren, and",,,,,,,
181056,,01 CAPITAL DISTRICT,BRIDGE WHERE AND WHEN AND WOC SFY20,BRIDGE WHERE AND WHEN AND WOC CONTRACT SFY20,Future Development,,Spring 2020,Summer 2020,Winter 2020/2021,2000000,No,Yes,No,This project involves emergency bridge repairs.,"Will provide for any demand repairs to the bridges on the state highway system in any of the eight counties that make up Region 1, including Albany, Essex, Greene, Rensselaer, Saratoga, Schenectady, Warren and Washington counties.",,,,,,,
181062,,01 CAPITAL DISTRICT,BRIDGE WHERE AND WHEN AND WOC SFY21,BRIDGE WHERE AND WHEN AND WOC SFY21,Future Development,,Spring 2021,Summer 2021,Spring 2022,2000000,No,Yes,No,This project involves emergency bridge repairs.,"This project will provide for any demand repairs to the bridges on the state highway system in any of the eight counties that make up Region 1, including Albany, Essex, Greene, Rensselaer, Saratoga, Schenectady, Warren and Washington counties.  ",,,,,,,
181037,,01 CAPITAL DISTRICT,BRIDGE WHERE AND WHEN AND WOC SFY26,BRIDGE WHERE AND WHEN AND WOC CONTRACT SFY26,Future Development,,Summer 2026,Fall 2026,Spring 2027,2000000,No,Yes,No,This project involves emergency bridge repairs.,"This project will provide for any demand repairs to the bridges on the state highway system in any of the eight counties that make up Region One, including Albany, Essex, Greene, Rensselaer, Saratoga, Schenectady, Warren and Washington counties.",,,,,,,
181077,,01 CAPITAL DISTRICT,BRIDGE WHERE AND WHEN SFY 22,BRIDGE WHERE AND WHEN SFY 22,Future Development,,Spring 2022,Summer 2022,Spring 2023,2000000,No,Yes,No,This project involves emergency bridge repairs.,"This project will provide for any demand repairs to the bridges on the state highway system in any of the eight counties that make up Region 1, including Albany, Essex, Greene, Rensselaer, Saratoga, Schenectady, Warren and Washington counties.",,,,,,,
181057,,01 CAPITAL DISTRICT,DURABLE PAVEMENT MARKING SFY20,DURABLE PAVEMENT MARKINGS SFY20 VARIOUS LOCATIONS,Future Development,,Spring 2020,Spring 2020,Fall 2020,3400000,Yes,Yes,No,"This project involves painting lane lines, shoulder lines, and other pavement markings.","Replace existing pavement markings with new durable pavement markings in various locations throughout Region 1, including Albany, Essex, Greene, Rensselaer, Saratoga, Schenectady, Warren and Washington counties.",,,,,,,
181065,,01 CAPITAL DISTRICT,DURABLE PAVEMENT MARKINGS SFY21,DURABLE PAVEMENT MARKINGS SFY21 VARIOUS LOCATIONS,Future Development,,Spring 2021,Summer 2021,Fall 2021,3400000,Yes,Yes,No,"This project involves painting lane lines, shoulder lines, and other pavement markings.","This project will replace existing pavement markings with new durable pavement markings in various locations throughout Region 1, including Albany, Essex, Greene, Rensselaer, Saratoga, Schenectady, Warren and Washington counties.",,,,,,,
152883,,01 CAPITAL DISTRICT,"EVERETT ROAD OVER I-90, BRIDGE REPAIR, BIN 1034529","EVERETT ROAD OVER I-90, BRIDGE REPAIR, BIN 1034529, ALBANY COUNTY",Future Development,,Spring 2022,Spring 2022,Winter 2023/2024,8900000,Yes,Yes,No,This project involves repairs to bridges before they become much more costly to fix.,"EVERETT ROAD OVER I-90, BRIDGE REPAIR",,,,,,,
130682,,01 CAPITAL DISTRICT,EXIT 6 INTERCHANGE SAFETY IMPROVEMENTS,Interchange safety improvements at State Route 7 interchange with Interstate-87 at Exit 6,Future Development,,Spring 2021,Spring 2021,Fall 2021,1500000,Yes,Yes,No,This project involves reconstructing a highway interchange.,"Interchange safety improvements at State Route 7 interchange with Interstate-87 at Exit 6. Town of Colonie, Albany County.",,,,,,,
193295,,01 CAPITAL DISTRICT,GRADE CROSSING SIGNAL UPGRADE,"GRADE CROSSING SIGNAL UPGRADE, SENECA STR., CITY OF SCHENECTADY, SCH.CO.",Future Development,,Fall 2012,Fall 2012,Fall 2013,220000,Yes,No,Yes,"This project involves building and maintaining signals, power systems, and communication systems used by rail or transit.","This project will upgrade the crossing signal on Seneca Street in the city of   Schenectady, Schenectady county.",,,,,,,
1HWP04,,01 CAPITAL DISTRICT,"HARSH WINTER PAVING PROGRAM 2014, ROUTE 67","HARSH WINTER PAVING PROGRAM 2014, ROUTE 67, TOWN OF BALLSTON, SARATOGA COUNTY",Future Development,,Summer 2014,Summer 2014,,2100000,No,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"HARSH WINTER PAVING PROGRAM 2014, ROUTE 67, TOWN OF BALLSTON, SARATOGA COUNTY",,,,,,,
1HWP03,,01 CAPITAL DISTRICT,"HARSH WINTER PAVING PROGRAM 2014, ROUTES 73 & 9L","HARSH WINTER PAVING PROGRAM 2014, ROUTE 73, TOWNS OF NORTH ELBA & KEENE, ESSEX COUNTY;  ROUTE 9L, VILLAGE OF LAKE GEORGE, WARREN COUNTY.",Future Development,,Summer 2014,Summer 2014,,3500000,No,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"HARSH WINTER PAVING PROGRAM 2014, ROUTE 73, TOWNS OF NORTH ELBA & KEENE, ESSEX COUNTY; ROUTE 9L, VILLAGE OF LAKE GEORGE, WARREN COUNTY.",,,,,,,
1HWP10,,01 CAPITAL DISTRICT,"HARSH WINTER PAVING PROGRAM 2015, ROUTE 146 SARATOGA COUNTY","HARSH WINTER PAVING PROGRAM 2015, ROUTE 146, TOWN OF HALFMOON, SARATOGA COUNTY",Future Development,,Spring 2016,Spring 2016,Fall 2016,,No,No,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"Route 146 paving from just east of Route 9 to Route 236 in the Town of Halfmoon, Saratoga County. This project is part of the Harsh Winter Paving Program 2015.",,,,,,,
1HWP08,,01 CAPITAL DISTRICT,"HARSH WINTER PAVING PROGRAM 2015, ROUTE 443","HARSH WINTER PAVING PROGRAM 2015, ROUTE 443, ALBANY COUNTY",Future Development,,Summer 2015,Summer 2015,Winter 2015/2016,1300000,No,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,"Harsh Winter Paving Program 2015, Route 443 from Schoharie County Line to Route 156, Town of Berne, Albany County.",,,,,,,
181061,,01 CAPITAL DISTRICT,"HIGHWAY WHERE AND WHEN, SFY20","Highway where and when in Albany, Greene, Rensselaer, and Schenectady Counties SFY 20.",Future Development,,Spring 2024,Summer 2024,Spring 2025,3500000,No,Yes,No,This project involves repaving roads using a single overlay of pavement.,"This project will conduct preventative maintenance and/or repair pavement to improve conditions at various locations in any of the following counties: Albany, Greene, Rensselaer, and Schenectady.",,,,,,,
1V1982,,01 CAPITAL DISTRICT,HWP PAVING: RT 22 WASHINGTON COUNTY,"HWP Paving: Resurface Rt 22 from Rt 22A (RM 22-1808-1364) to Rt 40 (RM 22-1808-1411). Town of Granville, Washington County.",Future Development,,Spring 2019,Spring 2019,,2000000,No,Yes,No,This project involves repaving roads using a single overlay of pavement.,"Resurface State Route 22 from State Route 22A to State Route 40. Town of Granville, Washington County.",,,,,,,
1V1972,,01 CAPITAL DISTRICT,HWP PAVING: RT 28 WARREN COUNTY,"HWP Paving: Resurface Rt 28 from Rt 8 (RM 28-1710-1107) to Dillon Hill Road (RM 28-1710-1115). Town of Johnsburg, Warren County.",Future Development,,Spring 2019,Spring 2019,,700000,No,Yes,No,This project involves repaving roads using a single overlay of pavement.,"Resurface State Route 28 from State Route 8 (RM 28-1710-1107) to Dillon Hill Road (RM 28-1710-1115). Town of Johnsburg, Warren County.",,,,,,,
1V1922,,01 CAPITAL DISTRICT,HWP PAVING: RT 9 ESSEX COUNTY,"HWP Paving: Resurface Rt 9 from Blue Ridge Road (RM 9-1211-1142) to Bridge over Schroon River (RM 9-1211-1232). Town of North Hudson, Essex County.",Future Development,,Spring 2019,Spring 2019,,2000000,No,Yes,No,This project involves repaving roads using a single overlay of pavement.,"Resurface US Route 9 from Blue Ridge Road to Bridge over Schroon River. Town of North Hudson, Essex County.",,,,,,,
181060,,01 CAPITAL DISTRICT,"HWY WHERE AND WHEN CONTRACT REGION 1, SFY20","Highway where and when in Albany, Greene, Rensselaer, and Schenectady Counties SFY 20",Future Development,,Spring 2022,Summer 2022,Spring 2023,3500000,No,Yes,No,This project involves repaving roads using a single overlay of pavement.,"Conduct preventative maintenance and/or repair pavement to improve conditions at various locations in any of the following counties: Albany, Greene, Rensselaer, and Schenectady.",,,,,,,
181017,,01 CAPITAL DISTRICT,"HWY WHERE AND WHEN CONTRACT, SFY20","Highway where and when in Essex, Saratoga, Warren, and Washington Counties SFY 20",Future Development,,Spring 2020,Summer 2020,Spring 2021,3500000,No,Yes,No,This project involves emergency highway repairs.,"This project will provide for any demand repairs to the state highway system in any of the following counties: Essex, Saratoga, Warren and Washington.  ",,,,,,,
105177,,01 CAPITAL DISTRICT,"I787 NB RAMP TO SME WB, BRIDGE REPAIR, BIN 109299A","BRIDGE REPAIR OR REPLACEMENT TO ADDRESS CONDITION RATING: I-787 OVER THE SME, NB RAMP TO SOUTH MALL EXPRESSWAY WESTBOUND, BIN 109299A, CITY OF ALBANY, ALBANY COUNTY",Future Development,,Fall 2019,Winter 2019/2020,Fall 2020,9700000,Yes,Yes,No,This project involves repairs to bridges before they become much more costly to fix.,"Make repairs to the bridge carrying the I-787 Northbound ramp to the South Mall Expressway Westbound in downtown Albany. City of Albany, Albany County.",,,,,,,
172270,,01 CAPITAL DISTRICT,"I87 RESURFACING, EXIT 24-26, BOLTON","I87 Resurfacing, Exit 24-26, Town of Bolton, Warren County",Future Development,,Spring 2023,Summer 2023,Winter 2023/2024,4200000,Yes,Yes,No,"This project involves roadway repairs by ""recycling"" the current pavement using a hot process.","I87 Resurfacing, Exit 24-26, Town of Bolton, Warren County.",,,,,,,
172271,,01 CAPITAL DISTRICT,"INTERSTATE 87 RESURFACING, EXIT 16 TO HUDSON RIVER, TOWN OF","Interstate 87 Resurfacing, Exit 16 to Hudson River, Town of Moreau, Saratoga County",Future Development,,Fall 2026,Fall 2026,Spring 2027,4200000,Yes,Yes,No,"This project involves roadway repairs by ""recycling"" the current pavement using a hot process.","Interstate 87 Resurfacing, Exit 16 to Hudson River, Town of Moreau, Saratoga County.",,,,,,,
